Stat Name,Rating Win,Rating Loss,Rating Win %,v 1-25 Win,v 1-25 Loss,v 1-25 Win %,v 26-50 Win,v 26-50 Loss,v 26-50 Win %,v 51-100 Win,v 51-100 Loss,v 51-100 Win %,Hi Win,Hi Loss,Hi Win %,Low Win,Low Loss,Low Win %,Last Win,Last Loss,Last Win %
predictive-by-other,86,62,0.581081081081081,32,22,0.5925925925925926,36,27,0.5714285714285714,65,37,0.6372549019607843,65,82,-0.5578231292517006,65,82,-0.5578231292517006,62,86,-0.581081081081081
home-by-other,83,65,0.5608108108108109,19,18,0.5135135135135135,16,18,-0.5294117647058824,40,23,0.6349206349206349,67,80,-0.54421768707483,66,80,-0.547945205479452,65,83,-0.5608108108108109
away-by-other,87,61,0.5878378378378378,11,9,0.55,14,9,0.6086956521739131,33,18,0.6470588235294118,66,78,-0.5416666666666666,67,81,-0.5472972972972973,61,87,-0.5878378378378378
neutral-by-other,79,67,0.541095890410959,9,9,0.5,17,12,0.5862068965517241,35,24,0.5932203389830508,67,80,-0.54421768707483,72,75,-0.5102040816326531,67,81,-0.5472972972972973
home-adv-by-other,65,82,-0.5578231292517006,46,47,-0.5053763440860215,40,40,0.5,57,48,0.5428571428571428,74,73,0.5034013605442177,69,78,-0.5306122448979592,84,64,0.5675675675675675
luck-by-other,84,57,0.5957446808510638,41,33,0.5540540540540541,35,20,0.6363636363636364,55,49,0.5288461538461539,71,77,-0.5202702702702703,80,66,0.547945205479452,61,87,-0.5878378378378378
consistency-by-other,77,69,0.5273972602739726,42,40,0.5121951219512195,43,51,-0.5425531914893617,59,40,0.5959595959595959,82,65,0.5578231292517006,74,73,0.5034013605442177,77,71,0.5202702702702703
